District,Enrollment,PPE,AVPP,LogPPE,LogAVPP,LogEnrollment
Basehor-Linwood,2048,5160.92,29721,8.5488701372,10.299609146,7.6246189862
Bucklin,353,6691.55,46834,8.8086008154,10.754364714,5.8664680569
Hesston,852,6335.52,38515,8.753927173,10.558803055,6.7475865268
Neodesha,845,6273.95,21040,8.7441614193,9.9541806669,6.7393366274
Central,391,6868.54,30491,8.8347068444,10.325186837,5.96870756
Udall,337,6736.28,35771,8.8152631228,10.484892788,5.8200829304
Tonganoxie,1451,5617.62,32545,8.6336633656,10.390379026,7.2800082529
Winfield,2764,5321.36,32559,8.5794841888,10.390809107,7.9244341849
Scott County,1070,5955.75,55326,8.6921124184,10.92099824,6.9754139275
Leoti,485,6841.95,61320,8.8308280577,11.023861333,6.1841488909
Healy,125,9523.87,48660,9.1615565578,10.792612616,4.8283137373
Lansing,1978,5163.89,28241,8.5494454504,10.248530102,7.5898415122
Arkansas City,2865,5148.88,21914,8.5465344943,9.994880981,7.9603236291
Dexter,205,7427.47,27708,8.9129405683,10.229476459,5.3230099791
Chapman,1183,5852.76,36508,8.6746686238,10.505286694,7.075808864
Haviland,173,8639.2,76478,9.0640652649,11.244758397,5.1532915945
Junction City,6463,5010.09,15619,8.519209158,9.6562434009,8.7738488853
Copeland,121,10898.58,95475,9.2963877845,11.466619712,4.7957905456
Ingalls,291,6536.88,47836,8.7852152664,10.775533773,5.6733232672
Crest,263,7105.85,40335,8.8686736674,10.604974857,5.5721540322
Liberal,4281,4766.42,31663,8.469350778,10.362904086,8.3619419061
Rural Vista,461,6380.79,33253,8.7610471931,10.411900268,6.133398043
Dighton,292,7159.82,69373,8.87624012,11.147253022,5.6767538023
Kismet-Plains,734,6093.98,65305,8.7150566776,11.086823882,6.5985090286
Fredonia,902,6402.98,33456,8.764518786,10.417986422,6.8046145201
Elwood,360,6140.94,33524,8.7227331039,10.420016879,5.8861040315
Herington,563,6710.57,23156,8.8114391742,10.050009205,6.3332796281
Axtell,363,7048.62,40144,8.860587132,10.600228269,5.8944028343
Hays,3398,5484.7,45747,8.6097176766,10.730881495,8.1309423022
El Dorado,2178,5116.72,33151,8.5402688877,10.408828161,7.6861623035
Eudora,1182,6108.56,28881,8.7174463452,10.270939218,7.074963198
Flinthills,352,7072.8,38724,8.8640117201,10.564214842,5.8636311756
Columbus,1405,5709.24,37981,8.649841194,10.544841314,7.2477925818
